reference, api_endpoint
/go/src/istio.io/istio/tests/e2e/tests/pilot/testdata/ingress.yaml,*//.well_known/foo
/go/src/istio.io/istio/tests/e2e/tests/pilot/testdata/ingress.yaml,*//http
/go/src/istio.io/istio/tests/e2e/tests/pilot/testdata/ingress.yaml,foo.bar.com//foo
/go/src/istio.io/istio/tests/e2e/tests/pilot/testdata/ingress.yaml,*.baz.com//bar
/go/pkg/mod/istio.io/istio@v0.0.0-20191010234722-c58def259087/galley/testdata/conversion/dataset/extensions/v1beta1/ingress_merge_0.yaml,foo.bar.com//bar
/go/pkg/mod/istio.io/istio@v0.0.0-20191010234722-c58def259087/galley/testdata/conversion/dataset/extensions/v1beta1/ingress_merge_0.yaml,foo.bar.com//foo
/go/src/istio.io/istio/istioctl/cmd/testdata/ingress/another-ingress.yaml,*//foo/bar/
/go/pkg/mod/istio.io/istio@v0.0.0-20191010223521-26911bbaaddf/istioctl/cmd/testdata/ingress/myservice-ingress.yaml,*//foo/.*
/go/pkg/mod/istio.io/istio@v0.0.0-20191010223521-26911bbaaddf/istioctl/cmd/testdata/ingress/myservice-ingress.yaml,*//.*
/go/pkg/mod/istio.io/istio@v0.0.0-20191010234722-c58def259087/istioctl/cmd/testdata/ingress/another-ingress.yaml,*//foo/bar/
/go/src/istio.io/istio/samples/bookinfo/platform/kube/bookinfo-ingress.yaml,*//logout
/go/src/istio.io/istio/samples/bookinfo/platform/kube/bookinfo-ingress.yaml,*//productpage
/go/src/istio.io/istio/samples/bookinfo/platform/kube/bookinfo-ingress.yaml,*//api/v1/products.*
/go/src/istio.io/istio/samples/bookinfo/platform/kube/bookinfo-ingress.yaml,*//login
/go/pkg/mod/istio.io/istio@v0.0.0-20191010223521-26911bbaaddf/tests/e2e/tests/pilot/testdata/ingress.yaml,*//c
/go/pkg/mod/istio.io/istio@v0.0.0-20191010223521-26911bbaaddf/tests/e2e/tests/pilot/testdata/ingress.yaml,*//.*
/go/pkg/mod/istio.io/istio@v0.0.0-20191010223521-26911bbaaddf/tests/e2e/tests/pilot/testdata/ingress.yaml,*//io.grpc/method
/go/pkg/mod/istio.io/istio@v0.0.0-20191010223521-26911bbaaddf/tests/e2e/tests/pilot/testdata/ingress.yaml,api.company.com//
/go/pkg/mod/istio.io/istio@v0.0.0-20191010223521-26911bbaaddf/tests/e2e/tests/pilot/testdata/ingress.yaml,*//pasta
/go/pkg/mod/istio.io/istio@v0.0.0-20191010223521-26911bbaaddf/tests/e2e/tests/pilot/testdata/ingress.yaml,*//lo.*
/go/pkg/mod/istio.io/istio@v0.0.0-20191010223521-26911bbaaddf/tests/e2e/tests/pilot/testdata/ingress.yaml,*//lucky
/go/pkg/mod/istio.io/istio@v0.0.0-20191010223521-26911bbaaddf/tests/e2e/tests/pilot/testdata/ingress.yaml,*//.well_known/foo
/go/pkg/mod/istio.io/istio@v0.0.0-20191010223521-26911bbaaddf/tests/e2e/tests/pilot/testdata/ingress.yaml,*//http
/go/pkg/mod/istio.io/istio@v0.0.0-20191010223521-26911bbaaddf/tests/e2e/tests/pilot/testdata/ingress.yaml,foo.bar.com//foo
/go/pkg/mod/istio.io/istio@v0.0.0-20191010223521-26911bbaaddf/tests/e2e/tests/pilot/testdata/ingress.yaml,*.baz.com//bar
